CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
431	79.154987	0	0	0	0.120265
432	79.683179	0	0	0	0.190268
433	80.180321	0	0	0	0.266486
434	80.648629	0	0	0	0.348657
435	81.090142	0	0	0	0.436524
436	81.506734	0	0	0	0.529844
437	81.900111	0	0	0	0.628379
438	82.271856	0	0	0	0.731902
439	82.623416	0	0	0	0.840196
440	82.956123	0	0	0	0.953054
441	83.271211	0	0	0	1.070275
442	83.569807	0	0	0	1.19167
443	83.852962	0	0	0	1.317056
444	84.121634	0	0	0	1.446261
445	84.376723	0	0	0	1.579118
446	84.61905	0	0	0	1.71547
447	84.849386	0	0	0	1.855166
448	85.068437	0	0	0	1.998062
449	85.276866	0	0	0	2.144021
450	85.475283	0	0	0	2.292912
451	85.664258	0	0	0	2.444611
452	85.844332	0	0	0	2.598999
453	86.015993	0	0	0	2.755962
454	86.179705	0	0	0	2.915393
455	86.335893	0	0	0	3.077187
456	86.48497	0	0	0	3.241246
457	86.627309	0	0	0	3.407477
458	86.763267	0	0	0	3.575789
459	86.893172	0	0	0	3.746097
460	87.017336	0	0	0	3.918318
461	87.136048	0	0	0	4.092374
462	87.24959	0	0	0	4.268192
463	87.358213	0	0	0	4.445698
464	87.462161	0	0	0	4.624825
465	87.561663	0	0	0	4.805508
466	87.656938	0	0	0	4.987684
467	87.748186	0	0	0	5.171293
468	87.835596	0	0	0	5.356278
469	87.919352	0	0	0	5.542584
470	87.99962	0	0	0	5.73016
471	88.076568	0	0	0	5.918954
472	88.150349	17.615314	0	0	3.466622
473	87.974052	28.701115	0	0	1.848201
474	88.052059	28.701115	0	0	2.036606
475	87.875951	31.266693	0	0	1.896855
476	87.958024	31.266693	0	0	2.083772
477	88.036693	31.266693	0	0	2.271935
478	87.860616	34.237503	0	0	2.023601
479	87.943329	34.237503	0	0	2.210286
480	87.767442	27.97051	6.266992	0	2.234266
481	87.591907	23.885733	10.351769	0	2.334266
482	87.416723	20.397491	13.84001	0	2.434266
483	87.24189	17.418669	16.818833	0	2.534266
484	87.067406	14.874869	19.362633	0	2.634266
485	86.893271	12.702563	21.534939	0	2.734266
486	86.719485	10.847498	23.390005	0	2.834266
487	86.546046	9.263344	24.97416	0	2.934266
488	86.372954	7.910537	26.326966	0	3.034266
489	86.200208	6.755293	27.482211	0	3.134266
490	86.027807	5.768759	28.468745	0	3.234266
491	85.855752	4.926297	29.311207	0	3.334266
492	85.68404	4.304176	29.933327	0	3.474844
493	85.512672	3.830214	30.407289	0	3.648637
494	85.341647	3.455638	30.781866	0	3.847741
495	85.170964	3.151352	31.086151	0	4.066854
496	85.000622	2.898801	31.338703	0	4.302226
497	84.83062	2.685534	31.551969	0	4.551093
498	84.660959	2.50286	31.734644	0	4.81136
499	84.491637	2.344509	31.892994	0	5.081391
500	84.322654	2.344509	30.065865	1.82713	0
501	84.154009	2.344509	29.94017	1.952825	-0
502	83.985701	2.344509	29.815001	2.077995	-0
503	83.817729	2.344509	29.690355	2.20264	-0
504	83.650094	2.344509	29.566231	2.326765	-0
505	83.482794	2.344509	29.442625	2.450371	-0
506	83.315828	2.344509	29.319536	2.573461	-0
507	83.149196	2.344509	29.196962	2.696035	-0
508	82.982898	2.344509	29.0749	2.818097	-0
509	82.816932	2.344509	28.953348	2.939649	-0
510	82.651298	2.344509	28.832304	3.060693	-0
511	82.485996	2.344509	28.711767	3.181231	-0
512	82.321024	2.344509	28.591734	3.301264	-0
513	82.156382	2.344509	28.472202	3.420796	-0
514	81.992069	2.344509	28.35317	3.539828	-0
515	81.828085	2.344509	28.234636	3.658363	-0
516	81.664429	2.344509	28.116598	3.776402	-0
517	81.5011	2.344509	27.999052	3.893947	-0
518	81.338098	2.344509	27.881998	4.011002	-0
519	81.175421	2.344509	27.765432	4.127566	-0
520	81.013071	2.344509	27.649355	4.243644	-0
521	80.851044	2.344509	27.533762	4.359236	-0
522	80.689342	2.344509	27.418653	4.474345	-0
523	80.527964	2.344509	27.304026	4.588973	-0
524	80.366908	2.344509	27.189877	4.703121	-0
525	80.206174	2.344509	27.076206	4.816792	-0
526	80.045761	2.344509	26.963011	4.929988	-0
527	79.88567	2.344509	26.850288	5.042711	-0
528	79.725899	2.344509	26.738037	5.154963	-0
529	79.566447	2.344509	26.626255	5.266745	-0
530	79.407314	2.344509	26.51494	5.37806	-0
531	79.248499	2.344509	26.404091	5.488909	-0
532	79.090002	2.344509	26.293705	5.599296	-0
533	78.931822	2.344509	26.183781	5.70922	-0
534	78.773959	2.344509	26.074316	5.818685	-0
535	78.616411	2.344509	25.965309	5.927693	-0
536	78.459178	2.344509	25.856758	6.036245	-0
537	78.30226	2.344509	25.748661	6.144343	-0
538	78.145655	2.344509	25.641014	6.251989	-0
539	77.989364	0	0	0	-0
540	78.587543	0	0	0	0.056681
541	79.149565	0	0	0	0.12013
542	79.678078	0	0	0	0.19007
543	80.175517	0	0	0	0.266228
544	80.644098	0	0	0	0.34834
545	81.085871	0	0	0	0.436152
546	81.502699	0	0	0	0.529418
547	81.896304	0	0	0	0.627902
548	82.268254	0	0	0	0.731377
549	82.620012	0	0	0	0.839625
550	82.952902	0	0	0	0.952438
551	83.268158	0	0	0	1.069617
552	83.566914	0	0	0	1.190971
553	83.850213	0	0	0	1.316319
554	84.11903	0	0	0	1.445486
555	84.374248	0	0	0	1.578308
556	84.616698	0	0	0	1.714626
557	84.847147	0	0	0	1.854289
558	85.066305	0	0	0	1.997154
559	85.274833	0	0	0	2.143083
560	85.473349	0	0	0	2.291945
561	85.662415	0	0	0	2.443617
562	85.842573	0	0	0	2.597979
563	86.01431	0	0	0	2.754917
564	86.178098	0	0	0	2.914323
565	86.334363	0	0	0	3.076094
566	86.483509	0	0	0	3.240131
567	86.625916	0	0	0	3.40634
568	86.761935	0	0	0	3.574632
569	86.8919	0	0	0	3.74492
570	87.016117	0	0	0	3.917122
571	87.134883	0	0	0	4.091161
572	87.24847	0	0	0	4.266961
573	87.357139	0	0	0	4.444451
574	87.461133	0	0	0	4.623562
575	87.56068	0	0	0	4.804229
576	87.655994	0	0	0	4.98639
577	87.74728	0	0	0	5.169985
578	87.834728	0	0	0	5.354956
579	87.918522	0	0	0	5.54125
580	87.998828	0	0	0	5.728812
581	88.075807	0	0	0	5.917595
582	88.149619	17.615162	0	0	3.465274
583	87.973321	28.762148	0	0	1.835716
584	88.051358	28.762148	0	0	2.024111
585	87.875258	31.325451	0	0	1.884376
586	87.957362	31.325451	0	0	2.071283
587	88.036054	31.325451	0	0	2.259435
588	87.859984	34.293579	0	0	2.011132
589	87.94272	34.293579	0	0	2.197808
590	87.766834	28.026754	6.266825	0	2.221798
591	87.5913	23.940456	10.353123	0	2.321798
592	87.416118	20.44994	13.843639	0	2.421798
593	87.241286	17.46834	16.825238	0	2.521798
594	87.066803	14.921457	19.37212	0	2.621798
595	86.892669	12.745911	21.547667	0	2.721798
596	86.718884	10.887558	23.40602	0	2.821798
597	86.545446	9.300153	24.993424	0	2.921798
598	86.372355	7.944191	26.349386	0	3.021798
599	86.199611	6.785929	27.507648	0	3.121798
600	86.027212	5.796541	28.497036	0	3.221798
601	85.855157	4.951406	29.342171	0	3.321798
602	85.683447	4.324986	29.968592	0	3.461482
603	85.51208	3.847996	30.445581	0	3.634554
604	85.341056	3.471172	30.822405	0	3.833057
605	85.170374	3.16515	31.128427	0	4.051656
606	85.000033	2.911216	31.382361	0	4.286578
607	84.830033	2.696824	31.596754	0	4.535047
608	84.660373	2.513213	31.780364	0	4.794956
609	84.491052	2.354072	31.939505	0	5.064665
610	84.32207	2.354072	30.11795	1.821555	0
611	84.153426	2.354072	29.992222	1.947284	0
612	83.985119	2.354072	29.867018	2.072488	0
613	83.817149	2.354072	29.742336	2.19717	0
614	83.649514	2.354072	29.618176	2.321331	0
615	83.482215	2.354072	29.494534	2.444974	0
616	83.315251	2.354072	29.371407	2.568101	0
617	83.14862	2.354072	29.248795	2.690713	0
618	82.982323	2.354072	29.126694	2.812814	0
619	82.816359	2.354072	29.005102	2.934405	0
620	82.650726	2.354072	28.884018	3.055489	0
621	82.485424	2.354072	28.763439	3.176067	0
622	82.320454	2.354072	28.643364	3.296141	0
623	82.155813	2.354072	28.52379	3.415715	0
624	81.991501	2.354072	28.404716	3.534789	0
625	81.827518	2.354072	28.286139	3.653366	0
626	81.663863	2.354072	28.168056	3.771448	0
627	81.500535	2.354072	28.050467	3.889037	0
628	81.337534	2.354072	27.933369	4.006136	0
629	81.174859	2.354072	27.816759	4.122745	0
630	81.012509	2.354072	27.700636	4.238868	0
631	80.850484	2.354072	27.584997	4.354506	0
632	80.688783	2.354072	27.469843	4.469661	0
633	80.527406	2.354072	27.355169	4.584336	0
634	80.366351	2.354072	27.240974	4.698531	0
635	80.205618	2.354072	27.127254	4.81225	0
636	80.045207	2.354072	27.014009	4.925495	0
637	79.885117	2.354072	26.901237	5.038266	0
638	79.725346	2.354072	26.788937	5.150567	0
639	79.565896	2.354072	26.677105	5.262399	0
640	79.406764	2.354072	26.565741	5.373764	0
641	79.24795	2.354072	26.45484	5.484664	0
642	79.089455	2.354072	26.344402	5.595102	0
643	78.931276	2.354072	26.234426	5.705078	0
644	78.773413	2.354072	26.124908	5.814595	0
645	78.615866	2.354072	26.015848	5.923655	0
646	78.458634	2.354072	25.907244	6.03226	0
647	78.301717	2.354072	25.799093	6.140411	0
648	78.145114	2.354072	25.691393	6.248111	0
